ine5,nom,costaner,dist_m
43161,Valls,0,14688
17136,Pontós,0,14891
17146,Riells i Viabrea,0,14994
08234,Sant Pere de Vilamajor,0,15019
43119,Puigpelat,0,15052
43003,l'Albiol,0,15059
17093,Llers,0,15068
08905,la Palma de Cervelló,0,15109
17100,Masarac i Vilarnadal,0,15114
08157,Pallejà,0,15241
17067,Flaçà,0,15268
08154,Pacs del Penedès,0,15317
17027,Breda,0,15529
08094,la Granada,0,15564
08041,Canovelles,0,15577
43133,Roquetes,0,15590
17148,Riudarenes,0,15787
17012,Avinyonet de Puigventós,0,15791
17041,Cantallops,0,15808
08238,Sant Quirze del Vallès,0,15909
08158,el Papiol,0,16035
17135,Pont de Molins,0,16278
43010,Alió,0,16314
08072,Corbera de Llobregat,0,16393
08091,Gelida,0,16455
08042,Cànoves i Samalús,0,16498
43055,Falset,0,16505
08081,Fogars de Montclús,0,16528
08039,Campins,0,16541
17130,la Pera,0,16594
17142,Quart,0,16723
08027,les Cabanyes,0,16736
17157,Sant Andreu Salou,0,16789
17115,Ordis,0,16897
08207,Sant Esteve de Palautordera,0,16946
43006,Aldover,0,17009
43070,els Guiamets,0,17062
08267,Sentmenat,0,17202
43025,Benifallet,0,17281
17050,Cervià de Ter,0,17359
08304,Vilobí del Penedès,0,17404
17168,Sant Joan de Mollet,0,17463
08184,Rubí,0,17482
43169,Vilaplana,0,17498
08249,Santa Fe del Penedès,0,17543
08005,l'Ametlla del Vallès,0,17800
43044,la Sénia,0,17827
08033,Caldes de Montbui,0,17863
17090,Llambilles,0,17894
17097,Madremanya,0,18023
17218,Vilademuls,0,18027
43114,Porrera,0,18043
17228,Vilanant,0,18141
43077,Mas de Barberans,0,18233
08054,Castellbisbal,0,18320
43001,Aiguamúrcia,0,18335
08085,Font-rubí,0,18340
08248,Santa Eulàlia de Ronçana,0,18348
17025,Bordils,0,18363
17038,Campllong,0,18423
43067,Ginestar,0,18498
17042,Capmany,0,18513
17173,Sant Martí Vell,0,18625
17111,Navata,0,18680
17234,Biure,0,18701
43108,el Pla de Santa Maria,0,18718
43015,Arbolí,0,18897
17150,Riudellots de la Selva,0,19122
08066,Castellví de Rosanes,0,19127
17233,Vilobí d'Onyar,0,19183
08088,la Garriga,0,19277
08240,Sant Sadurní d'Anoia,0,19289
08279,Terrassa,0,19302
08164,el Pla del Penedès,0,19315
08196,Sant Andreu de la Barca,0,19459
43091,Mont-ral,0,19610
08174,Puigdàlber,0,19619
43049,Cornudella de Montsant,0,19654
43082,el Masroig,0,19731
43052,Xerta,0,19777
08288,Torrelles de Foix,0,19904
08051,Castellar del Vallès,0,20076
17087,Juià,0,20563
17180,Santa Coloma de Farners,0,20689
43124,la Riba,0,20849
08287,Torrelavit,0,20914
43094,Móra la Nova,0,20985
17029,Boadella i les Escaules,0,21102
17001,Agullana,0,21226
17169,Sant Julià de Ramis,0,21279
17196,Terrades,0,21320
43026,Benissanet,0,21321
17031,Cabanelles,0,21321
43096,la Morera de Montsant,0,21354
43112,Poboleda,0,21354
43023,Bellmunt del Priorat,0,21367
43065,Garcia,0,21517
17009,Arbúcies,0,21642
08114,Martorell,0,21817
17073,Fornells de la Selva,0,21823
43057,la Febró,0,21868
08168,Pontons,0,21946
17049,Celrà,0,21997
17051,Cistella,0,22034
43093,Móra d'Ebre,0,22039
43120,Querol,0,22120
43039,Capafonts,0,22227
17065,Esponellà,0,22239
43069,Gratallops,0,22250
08023,Bigues i Riells del Fai,0,22354
43084,Miravet,0,22375
08134,Figaró-Montmany,0,22385
08208,Sant Esteve Sesrovires,0,22388
08222,Sant Llorenç d'Hortons,0,22503
17060,Darnius,0,22666
17071,Fontcoberta,0,22668
43154,Torroja del Priorat,0,22849
17056,Cornellà del Terri,0,22865
08276,Tagamanent,0,22934
17079,Girona,0,23105
43113,el Pont d'Armentera,0,23107
43086,Montblanc,0,23331
43059,Figuerola del Camp,0,23360
17028,Brunyola i Sant Martí Sapresa,0,23438
17088,Lladó,0,23451
08137,Montseny,0,23492
17002,Aiguaviva,0,23498
17058,Crespià,0,23533
08161,Piera,0,23548
43172,Vilaverd,0,23598
43085,el Molar,0,23871
43008,Alfara de Carles,0,23917
08236,Sant Quintí de Mediona,0,23977
08290,Ullastrell,0,24061
43106,el Pinell de Brai,0,24280
08232,Sant Pere de Riudebitlles,0,24842
43036,Cabra del Camp,0,24889
43072,el Lloar,0,25110
43102,Paüls,0,25146
08120,Matadepera,0,25328
08028,Cabrera d'Anoia,0,25364
43116,Prades,0,25366
17014,la Vajol,0,25624
43173,la Vilella Alta,0,25659
08239,Sant Quirze Safaja,0,25712
17123,Palol de Revardit,0,25731
08001,Abrera,0,25808
08119,Masquefa,0,25927
08210,Sant Feliu de Codines,0,25984
08300,Viladecavalls,0,26082
17015,Banyoles,0,26196
17215,Vilablareix,0,26199
08087,Gallifa,0,26368
08122,Mediona,0,26389
08026,el Brull,0,26515
43174,la Vilella Baixa,0,26667
08224,Sant Martí de Centelles,0,26712
17020,Bescanó,0,26760
43058,la Figuera,0,26779
17137,Porqueres,0,26902
08104,la Llacuna,0,26957
08223,Sant Llorenç Savall,0,27083
17155,Salt,0,27449
17171,Sant Llorenç de la Muga,0,27590
43176,Vimbodí i Poblet,0,27743
17102,Maçanet de Cabrenys,0,27745
17035,Camós,0,27797
43117,Prat de Comte,0,27842
17186,Sarrià de Ter,0,27884
17098,Maià de Montcal,0,28198
17220,Viladrau,0,28241
17021,Beuda,0,28328
08162,els Hostalets de Pierola,0,28524
43035,Cabacés,0,28525
08147,Olesa de Montserrat,0,28597
17190,Serinyà,0,28807
43021,Barberà de la Conca,0,28856
17164,Sant Hilari Sacalm,0,28960
08291,Vacarisses,0,29155
43168,Vilanova de Prades,0,29283
08076,Esparreguera,0,29288
43157,Ulldemolins,0,29380
17163,Sant Gregori,0,29454
43071,Horta de Sant Joan,0,29463
17162,Sant Ferriol,0,29705
43064,Gandesa,0,29762
08014,Aiguafreda,0,29849
43141,Pontils,0,29858
17040,Canet d'Adri,0,29930
43054,l'Espluga de Francolí,0,29935
43019,Ascó,0,30336
43075,Margalef,0,30398
08067,Centelles,0,30412
17008,Anglès,0,30430
43152,la Torre de l'Espanyol,0,30495
17116,Osor,0,30707
08064,Castellterçol,0,30957
43142,Sarral,0,31362
43158,Vallclara,0,31484
08292,Vallbona d'Anoia,0,31506
08139,Mura,0,31522
43048,Corbera d'Ebre,0,31625
