ine5,nom,densitat_hab_km2,our_gap_pct,etca_gap_pct,our_lo_pct,our_hi_pct,signe_oposat,classe
08148,Olivella,115.6,12.5,-6.6,-4.1,37.0,1,soroll
08149,Olost,41.6,-4.8,6.9,-18.9,15.9,1,soroll
08155,Palafolls,602.4,-3.9,-2.0,-18.1,16.9,0,coincident
08156,Palau-solità i Plegamans,1033.5,-6.5,2.3,-20.3,13.8,1,soroll
08157,Pallejà,1386.4,-7.7,-10.2,-15.3,2.4,0,coincident
08158,"Papiol, el",496.9,-16.2,-7.4,-28.5,2.1,0,coincident
08159,Parets del Vallès,2085.3,-15.9,0.5,-19.3,3.5,1,soroll
08161,Piera,307.7,-0.5,-12.0,-15.2,21.1,0,coincident
08162,"Hostalets de Pierola, els",97.1,4.1,-11.5,-11.3,26.7,1,soroll
08163,Pineda de Mar,2894.2,5.7,10.7,-18.1,32.4,0,coincident
08164,"Pla del Penedès, el",144.0,9.8,-16.2,-6.4,33.7,1,soroll
08165,"Pobla de Claramunt, la",127.6,-7.9,7.4,-21.6,12.0,1,soroll
08166,"Pobla de Lillet, la",21.3,-23.0,1.3,-34.4,-6.3,1,soroll
08167,Polinyà,963.6,-10.3,9.2,-23.6,9.2,1,soroll
08169,"Prat de Llobregat, el",1979.2,-22.5,10.0,-39.9,-2.9,1,senyal
08171,Prats de Lluçanès,198.7,2.7,-6.9,-12.4,25.1,1,soroll
08172,Premià de Mar,13828.6,-10.5,-13.4,-30.6,12.2,0,coincident
08175,Puig-reig,97.4,-12.3,-3.8,-25.3,6.7,0,coincident
08180,Ripollet,9285.9,-10.0,-11.1,-13.6,10.8,0,coincident
08181,"Roca del Vallès, la",295.1,0.9,-2.7,-14.0,22.8,1,soroll
08182,"Pont de Vilomara i Rocafort, el",150.9,-9.0,-11.7,-22.4,10.8,0,coincident
08183,Roda de Ter,3085.6,-6.4,-11.1,-10.2,15.2,0,coincident
08184,Rubí,2534.9,-10.9,-7.4,-14.5,9.6,0,coincident
08187,Sabadell,5872.2,-9.3,-6.9,-12.9,11.7,0,coincident
08191,Sallent,106.0,-8.9,5.1,-22.3,10.9,1,soroll
08192,Santpedor,460.9,-7.9,-1.4,-21.5,12.1,0,coincident
08193,Sant Iscle de Vallalta,82.1,-5.5,-6.2,-19.5,15.0,0,coincident
08194,Sant Adrià de Besòs,10128.4,-10.9,-5.3,-7.9,6.6,0,coincident
08196,Sant Andreu de la Barca,4779.0,-15.9,-4.9,-19.3,3.5,0,coincident
08197,Sant Andreu de Llavaneres,1010.5,14.2,-6.9,-11.4,43.2,1,soroll
08198,Sant Antoni de Vilamajor,480.6,11.2,-11.4,-5.3,35.3,1,soroll
08200,Sant Boi de Llobregat,3949.0,-17.9,-6.7,-21.2,1.0,0,coincident
08202,Sant Celoni,286.8,-12.1,-1.6,-25.1,6.9,0,coincident
08203,Sant Cebrià de Vallalta,243.5,19.2,3.4,1.6,45.0,0,coincident
08204,Sant Climent de Llobregat,388.5,-19.9,-18.2,-26.5,-11.2,0,coincident
08205,Sant Cugat del Vallès,2048.2,-18.8,2.0,-22.0,0.0,1,soroll
08206,Sant Cugat Sesgarrigues,163.8,4.9,-2.8,-10.6,27.6,1,soroll
08207,Sant Esteve de Palautordera,289.7,10.8,-11.6,-5.6,34.9,1,soroll
08208,Sant Esteve Sesrovires,435.8,-8.3,14.6,-21.9,11.6,1,soroll
08209,Sant Fost de Campsentelles,698.7,-8.6,-10.0,-22.1,11.2,0,coincident
08210,Sant Feliu de Codines,444.0,-4.8,-13.1,-18.9,15.9,0,coincident
