ine5,nom,densitat_hab_km2,our_gap_pct,etca_gap_pct,our_lo_pct,our_hi_pct,signe_oposat,classe
25033,Artesa de Lleida,63.7,-16.1,-10.5,-28.5,2.1,0,coincident
25034,Artesa de Segre,19.9,17.2,-8.0,-0.1,42.6,1,soroll
25038,Aitona,38.7,-5.7,-6.2,-19.7,14.7,0,coincident
25040,Balaguer,307.4,-1.9,-5.0,-16.4,19.4,0,coincident
25043,"Vall de Boí, la",5.0,57.4,82.3,34.1,91.5,0,coincident
25047,Bellcaire d'Urgell,39.4,21.0,-0.8,3.1,47.3,1,soroll
25048,Bell-lloc d'Urgell,67.0,-2.9,-8.9,-17.2,18.2,0,coincident
25050,Bellpuig,150.0,-3.6,-5.2,-17.8,17.3,0,coincident
25051,Bellver de Cerdanya,22.3,30.9,26.7,11.6,59.3,0,coincident
25052,Bellvís,48.6,-1.5,-10.8,-16.0,19.9,0,coincident
25053,Benavent de Segrià,210.4,-2.2,-16.5,-16.7,19.0,0,coincident
25058,"Borges Blanques, les",103.2,-0.0,-1.6,-14.8,21.7,0,coincident
25059,Bossòst,40.5,6.9,-5.4,-8.8,30.2,1,soroll
25062,Camarasa,5.2,13.9,22.2,-2.9,38.6,0,coincident
25072,Cervera,173.2,-3.0,-5.6,-17.3,18.1,0,coincident
25078,Corbins,70.9,-4.7,-3.5,-18.8,16.0,0,coincident
25086,Esterri d'Àneu,109.9,27.7,41.2,8.8,55.4,0,coincident
25096,"Fuliola, la",112.6,-6.0,-9.8,-19.9,14.4,0,coincident
25099,Golmés,115.1,6.6,-10.8,-9.2,29.7,1,soroll
25110,Guissona,414.8,4.3,4.0,-11.1,26.9,0,coincident
25113,Ivars d'Urgell,65.8,-2.8,-11.3,-17.2,18.2,0,coincident
25115,Isona i Conca Dellà,7.4,21.1,8.9,3.2,47.4,0,coincident
25119,Juneda,74.8,-0.6,-8.7,-15.3,21.0,0,coincident
25120,Lleida,682.9,0.5,3.0,-14.3,22.3,0,coincident
25121,Les,43.8,-28.2,5.7,-38.8,-12.6,1,senyal
25122,Linyola,94.9,11.6,-11.6,-4.9,35.9,1,soroll
25135,Miralcamp,93.5,5.7,-1.4,-9.9,28.7,1,soroll
25137,Mollerussa,2243.4,15.3,1.1,10.7,42.0,0,coincident
25140,Montferrer i Castellbò,6.5,13.0,3.2,-3.7,37.6,0,coincident
25149,Oliana,56.8,-24.0,7.0,-35.2,-7.5,1,senyal
25151,Olius,18.4,9.6,-6.6,-6.7,33.3,1,soroll
25156,Os de Balaguer,7.9,-14.6,-10.0,-27.2,4.0,0,coincident
25158,"Palau d'Anglesola, el",178.7,2.7,-9.5,-12.5,25.0,1,soroll
25171,"Pobla de Segur, la",90.6,26.9,-3.0,8.2,54.5,1,soroll
25172,Ponts,85.1,30.9,-7.4,11.5,59.3,1,senyal
25173,"Pont de Suert, el",16.1,-20.9,14.4,-32.5,-3.7,1,senyal
25182,Puigverd de Lleida,114.3,-11.9,-15.5,-24.9,7.3,0,coincident
25183,Rialp,10.4,18.9,54.4,1.2,44.6,0,coincident
25189,Rosselló,335.3,-7.9,-10.8,-21.5,12.1,0,coincident
25192,Sant Guim de Freixenet,48.4,5.8,-8.9,-9.8,28.8,1,soroll
25193,Sant Llorenç de Morunys,212.0,57.2,27.2,34.0,91.4,0,coincident
25203,"Seu d'Urgell, la",817.3,18.3,-1.4,0.8,43.9,1,soroll
25204,Seròs,22.1,8.4,-3.2,-7.6,32.0,1,soroll
25207,Solsona,531.5,7.8,1.7,-8.1,31.2,0,coincident
25209,Sort,21.4,-0.8,41.4,-15.5,20.8,1,soroll
25210,Soses,62.3,-11.7,-1.1,-24.8,7.4,0,coincident
25217,Tàrrega,211.3,2.0,-4.7,-13.1,24.1,1,soroll
25220,Térmens,48.7,-7.2,1.6,-21.0,12.9,1,soroll
25223,Torà,13.4,-19.6,-1.7,-31.4,-2.1,0,coincident
25228,Torrefarrera,208.9,-1.7,-3.7,-16.3,19.6,0,coincident
25230,Torregrossa,55.1,0.4,-11.0,-14.4,22.2,1,soroll
25232,Torres de Segre,44.7,0.6,-7.8,-14.3,22.4,1,soroll
25234,Tremp,19.9,-6.9,5.9,-20.6,13.4,1,soroll
25240,Vallfogona de Balaguer,74.4,1.4,-6.9,-13.6,23.4,1,soroll
25243,Vielha e Mijaran,27.0,12.5,28.2,-4.1,36.9,0,coincident
25248,Vilanova de Bellpuig,83.9,-9.5,-9.4,-22.9,10.2,0,coincident
25251,Vilanova de Segrià,126.9,3.7,-15.2,-11.6,26.3,1,soroll
25254,Vilanova de la Barca,51.5,-4.7,-8.1,-18.8,15.9,0,coincident
25912,Gimenells i el Pla de la Font,19.7,1.2,-10.0,-13.8,23.2,1,soroll
43001,Aiguamúrcia,13.3,-1.8,5.2,-16.3,19.6,1,soroll
43002,Albinyana,138.1,-0.3,-9.1,-15.0,21.3,0,coincident
43004,Alcanar,215.0,31.6,1.8,2.1,65.0,0,coincident
43005,Alcover,116.2,-9.9,-4.3,-23.2,9.6,0,coincident
43009,Alforja,53.3,-27.9,-9.0,-38.5,-12.2,0,coincident
43011,Almoster,222.2,-16.7,-17.9,-29.0,1.4,0,coincident
43012,Altafulla,849.2,26.1,31.5,-2.2,58.1,0,coincident
43013,"Ametlla de Mar, l'",111.2,80.3,38.5,39.8,126.0,0,coincident
43014,Amposta,166.0,9.5,1.6,-15.0,37.3,0,coincident
43016,"Arboç, l'",406.0,-15.2,8.1,-27.7,3.2,1,soroll
43019,Ascó,22.1,-8.6,8.8,-22.1,11.3,1,soroll
43020,Banyeres del Penedès,273.8,2.4,-9.4,-12.8,24.6,1,soroll
43022,Batea,14.8,-24.9,-3.9,-36.0,-8.6,0,coincident
43024,Bellvei,293.6,18.1,9.0,0.7,43.8,0,coincident
43026,Benissanet,52.2,-0.9,-2.7,-15.5,20.6,0,coincident
43028,"Bisbal del Penedès, la",131.0,12.9,10.6,-3.8,37.4,0,coincident
43031,"Borges del Camp, les",271.8,-10.1,-4.0,-23.4,9.4,0,coincident
43033,Botarell,98.7,-10.8,-0.5,-23.9,8.6,0,coincident
43036,Cabra del Camp,49.3,-1.4,-3.8,-15.9,20.1,0,coincident
43037,Calafell,1569.2,49.2,26.6,15.7,87.0,0,coincident
43038,Cambrils,1052.2,42.2,35.4,10.3,78.2,0,coincident
43042,Castellvell del Camp,588.0,-10.1,-15.3,-23.4,9.4,0,coincident
43043,"Catllar, el",198.9,4.7,-11.4,-10.8,27.4,1,soroll
43044,"Sénia, la",52.4,-16.6,-6.1,-28.9,1.5,0,coincident
43047,Constantí,225.3,-7.4,11.6,-21.1,12.7,1,soroll
43048,Corbera d'Ebre,19.3,-15.8,-10.4,-28.3,2.4,0,coincident
43049,Cornudella de Montsant,16.5,-10.9,24.6,-24.1,8.4,1,soroll
43050,Creixell,407.8,50.5,52.1,16.7,88.6,0,coincident
43051,Cunit,1608.7,33.7,19.5,3.7,67.6,0,coincident
43052,Xerta,36.0,-3.7,-5.4,-18.0,17.2,0,coincident
43054,"Espluga de Francolí, l'",68.5,-9.1,-3.0,-22.5,10.6,0,coincident
43055,Falset,90.8,-10.9,1.5,-24.1,8.5,1,soroll
43060,Flix,28.7,3.5,2.0,-11.8,25.9,0,coincident
43064,Gandesa,44.8,-5.4,2.6,-19.4,15.1,1,soroll
43071,Horta de Sant Joan,9.8,-16.3,5.8,-28.7,1.9,1,soroll
43074,Llorenç del Penedès,524.2,-0.9,-5.9,-15.6,20.6,0,coincident
43078,Masdenverge,79.2,2.3,-15.1,-12.8,24.5,1,soroll
43086,Montblanc,83.3,-14.6,10.8,-27.2,3.9,1,soroll
43088,Montbrió del Camp,300.6,3.9,-5.3,-11.5,26.4,1,soroll
43090,"Montmell, el",26.5,6.6,5.5,-9.2,29.7,0,coincident
43092,Mont-roig del Camp,226.8,80.9,60.5,40.3,126.7,0,coincident
43093,Móra d'Ebre,127.7,12.9,-1.6,-3.8,37.4,1,soroll
43094,Móra la Nova,213.9,3.6,-10.9,-11.7,26.1,1,soroll
43095,"Morell, el",646.5,0.8,7.1,-14.1,22.6,0,coincident
43100,"Pallaresos, els",987.3,-6.8,-11.7,-20.6,13.5,0,coincident
43103,Perafort,137.0,-13.1,-14.2,-26.0,5.7,0,coincident
43104,"Perelló, el",29.5,-5.5,12.8,-26.7,18.4,1,soroll
43106,"Pinell de Brai, el",17.3,-11.4,-7.6,-24.5,7.8,0,coincident
43108,"Pla de Santa Maria, el",68.6,-14.3,1.7,-27.0,4.2,1,soroll
43109,"Pobla de Mafumet, la",681.8,-16.1,2.7,-28.5,2.1,1,soroll
43111,"Pobla de Montornès, la",275.4,27.0,6.1,8.2,54.5,0,coincident
43116,Prades,20.8,15.6,67.5,-1.3,40.8,0,coincident
43119,Puigpelat,128.2,-25.7,-2.7,-36.6,-9.5,0,coincident
43123,Reus,2094.2,-5.5,-2.8,-9.3,16.3,0,coincident
43125,Riba-roja d'Ebre,11.4,3.9,-3.0,-11.5,26.4,1,soroll
43126,"Riera de Gaià, la",207.9,-2.2,-10.5,-16.7,19.0,0,coincident
43127,Riudecanyes,80.9,-8.7,-8.6,-22.1,11.2,0,coincident
43128,Riudecols,64.6,-11.9,-7.1,-25.0,7.1,0,coincident
43129,Riudoms,217.4,-12.8,-5.3,-25.7,6.2,0,coincident
43131,Roda de Berà,490.3,74.6,46.1,35.4,118.8,0,coincident
43133,Roquetes,62.1,-7.2,-9.9,-20.9,13.0,0,coincident
43136,Sant Carles de la Ràpita,305.7,27.0,5.8,-1.5,59.2,0,coincident
43137,Sant Jaume dels Domenys,115.2,-0.2,-0.7,-15.0,21.5,0,coincident
43138,Santa Bàrbara,138.5,-2.1,-5.2,-16.5,19.2,0,coincident
43139,Santa Coloma de Queralt,83.3,-6.9,-2.3,-20.7,13.3,0,coincident
43140,Santa Oliva,380.3,1.3,18.9,-13.7,23.3,0,coincident
43142,Sarral,30.3,-20.6,11.7,-32.4,-3.4,1,senyal
43144,"Secuita, la",103.7,-9.2,-14.9,-22.7,10.4,0,coincident
43145,"Selva del Camp, la",166.6,-18.1,-0.7,-30.2,-0.3,0,coincident
43148,Tarragona,2427.5,-10.7,10.7,-30.8,11.9,1,soroll
43150,Tivissa,7.8,-7.2,11.9,-20.9,13.0,1,soroll
43153,Torredembarra,2076.5,37.9,21.4,6.9,72.8,0,coincident
43155,Tortosa,164.8,-8.8,3.8,-22.2,11.1,1,soroll
43156,Ulldecona,53.0,-8.0,-3.1,-21.6,12.0,0,coincident
43160,Vallmoll,116.5,-15.9,-12.1,-28.3,2.3,0,coincident
43161,Valls,453.9,-9.5,0.9,-22.9,10.2,1,soroll
43162,Vandellòs i l'Hospitalet de l'Infant,69.7,24.6,24.5,-3.3,56.2,0,coincident
43163,"Vendrell, el",1106.3,34.6,18.8,4.4,68.7,0,coincident
43166,Vilallonga del Camp,272.3,3.6,-10.1,-11.7,26.1,1,soroll
43170,Vila-rodona,42.1,-7.4,-9.2,-21.1,12.8,0,coincident
43171,Vila-seca,1124.3,12.6,28.7,-12.6,41.2,0,coincident
43178,Vinyols i els Arcs,224.3,8.1,10.7,-7.9,31.5,0,coincident
43901,Deltebre,114.6,22.8,6.2,-4.8,53.9,0,coincident
43902,Sant Jaume d'Enveja,62.8,21.1,-2.1,-6.1,51.8,1,soroll
43903,Camarles,116.5,10.9,-1.4,-5.5,35.0,1,soroll
43904,"Aldea, l'",151.7,13.8,0.6,-3.0,38.5,0,coincident
43905,Salou,2026.1,60.7,104.4,24.6,101.4,0,coincident
43906,"Ampolla, l'",104.9,92.1,45.3,49.0,140.8,0,coincident
43907,"Canonja, la",817.8,-8.9,4.3,-22.4,10.9,1,soroll
