ine5,municipi,tipus_territorial,densitat_hab_km2,etca,kwh_dom,base_implied,base_pred,err_regressio_pct,err_loo_pct
08162,"Hostalets de Pierola, els",interior_rural,97.1,2860.0,5227307,1828.0,1554.0,17.6,17.6
08164,"Pla del Penedès, el",interior_rural,144.0,1133.0,2394163,2113.0,1612.0,31.1,31.4
08165,"Pobla de Claramunt, la",interior_rural,127.6,2531.0,3153057,1246.0,1454.0,-14.3,-14.4
08166,"Pobla de Lillet, la",interior_rural,21.3,1121.0,1520906,1357.0,1785.0,-24.0,-24.2
08167,Polinyà,interior_rural,963.6,9345.0,9903722,1060.0,1290.0,-17.9,-17.9
08168,Pontons,interior_rural,20.2,,813994,,1628.0,,
08170,"Prats de Rei, els",interior_rural,21.3,,922166,,1780.0,,
08171,Prats de Lluçanès,interior_rural,198.7,2511.0,4224800,1683.0,1525.0,10.3,10.3
08174,Puigdàlber,interior_rural,1064.6,,1033257,,1509.0,,
08175,Puig-reig,interior_rural,97.4,4313.0,5315982,1233.0,1353.0,-8.9,-9.0
08176,Pujalt,interior_rural,6.7,,495586,,1958.0,,
08177,"Quar, la",interior_rural,1.1,,155737,,2049.0,,
08178,Rajadell,interior_rural,13.0,,1199880,,2010.0,,
08179,Rellinars,interior_rural,51.9,,1659871,,1756.0,,
08181,"Roca del Vallès, la",interior_rural,295.1,10658.0,17196371,1613.0,1556.0,3.7,3.7
08182,"Pont de Vilomara i Rocafort, el",interior_rural,150.9,3656.0,4923475,1347.0,1307.0,3.0,3.0
08185,Rubió,interior_rural,5.0,,340489,,1846.0,,
08188,Sagàs,interior_rural,3.4,,482415,,1956.0,,
08189,Sant Pere Sallavinera,interior_rural,7.2,,350955,,2047.0,,
08190,Saldes,interior_rural,4.5,,685487,,2038.0,,
08191,Sallent,interior_rural,106.0,7288.0,8665761,1189.0,1372.0,-13.3,-13.4
08192,Santpedor,interior_rural,460.9,7601.0,9997630,1315.0,1409.0,-6.6,-6.7
08193,Sant Iscle de Vallalta,interior_rural,82.1,1373.0,2369879,1726.0,1714.0,0.7,0.7
08195,Sant Agustí de Lluçanès,interior_rural,7.9,,189193,,1903.0,,
08198,Sant Antoni de Vilamajor,interior_rural,480.6,5897.0,11169090,1894.0,1510.0,25.4,25.5
08199,Sant Bartomeu del Grau,interior_rural,27.0,,1364747,,1727.0,,
08201,Sant Boi de Lluçanès,interior_rural,28.4,,793781,,1815.0,,
08202,Sant Celoni,interior_rural,286.8,18407.0,22307033,1212.0,1357.0,-10.7,-10.7
08203,Sant Cebrià de Vallalta,interior_rural,243.5,3941.0,6868747,1743.0,1512.0,15.3,15.3
08206,Sant Cugat Sesgarrigues,interior_rural,163.8,999.0,1574362,1576.0,1460.0,7.9,7.9
08207,Sant Esteve de Palautordera,interior_rural,289.7,2723.0,5240438,1925.0,1535.0,25.3,25.5
08208,Sant Esteve Sesrovires,interior_rural,435.8,9211.0,11499286,1248.0,1560.0,-20.0,-20.1
08209,Sant Fost de Campsentelles,interior_rural,698.7,8272.0,12581382,1521.0,1497.0,1.6,1.6
08210,Sant Feliu de Codines,interior_rural,444.0,5755.0,9130032,1586.0,1448.0,9.5,9.6
08212,Sant Feliu Sasserra,interior_rural,27.2,,1054950,,1782.0,,
08213,Sant Fruitós de Bages,interior_rural,414.5,9572.0,13807229,1442.0,1467.0,-1.7,-1.7
08216,Sant Jaume de Frontanyà,interior_rural,1.2,,57139,,2044.0,,
08218,Sant Joan de Vilatorrada,interior_rural,667.0,9910.0,12155930,1227.0,1241.0,-1.2,-1.2
08220,Sant Julià de Vilatorta,interior_rural,203.6,2837.0,5409312,1907.0,1667.0,14.4,14.6
08222,Sant Llorenç d'Hortons,interior_rural,135.3,2297.0,4732099,2060.0,1668.0,23.5,23.6
08223,Sant Llorenç Savall,interior_rural,62.5,2393.0,3751843,1568.0,1679.0,-6.6,-6.7
08224,Sant Martí de Centelles,interior_rural,48.8,1072.0,1508788,1407.0,1416.0,-0.6,-0.6
08225,Sant Martí d'Albars,interior_rural,9.5,,148355,,1889.0,,
08226,Sant Martí de Tous,interior_rural,32.7,1092.0,1779777,1630.0,1772.0,-8.0,-8.0
08227,Sant Martí Sarroca,interior_rural,96.8,3051.0,5654664,1853.0,1634.0,13.4,13.5
08228,Sant Martí Sesgueioles,interior_rural,92.7,,527405,,1425.0,,
08229,Sant Mateu de Bages,interior_rural,6.2,,1260084,,1956.0,,
08232,Sant Pere de Riudebitlles,interior_rural,452.7,2310.0,3190238,1381.0,1363.0,1.3,1.3
08233,Sant Pere de Torelló,interior_rural,47.0,2443.0,2773868,1135.0,1726.0,-34.2,-34.4
08234,Sant Pere de Vilamajor,interior_rural,143.2,4533.0,8241684,1818.0,1623.0,12.0,12.1
08236,Sant Quintí de Mediona,interior_rural,183.4,2414.0,2911465,1206.0,1373.0,-12.2,-12.2
08237,Sant Quirze de Besora,interior_rural,260.8,2085.0,2746165,1317.0,1390.0,-5.3,-5.3
08238,Sant Quirze del Vallès,interior_rural,1426.7,18727.0,27715556,1480.0,1603.0,-7.7,-7.8
08239,Sant Quirze Safaja,interior_rural,25.9,,1544382,,2053.0,,
08240,Sant Sadurní d'Anoia,interior_rural,683.4,12983.0,17417120,1342.0,1449.0,-7.4,-7.5
08242,Marganell,interior_rural,23.2,,463579,,1757.0,,
08243,Santa Cecília de Voltregà,interior_rural,21.9,,380689,,2039.0,,
08246,Santa Eugènia de Berga,interior_rural,329.1,2463.0,3195680,1297.0,1430.0,-9.3,-9.3
08247,Santa Eulàlia de Riuprimer,interior_rural,106.5,1247.0,2023803,1623.0,1747.0,-7.1,-7.2
08248,Santa Eulàlia de Ronçana,interior_rural,562.3,7153.0,12097451,1691.0,1582.0,6.9,6.9
08249,Santa Fe del Penedès,interior_rural,108.3,,553818,,1732.0,,
08250,Santa Margarida de Montbui,interior_rural,381.3,9045.0,10492654,1160.0,1175.0,-1.3,-1.3
08251,Santa Margarida i els Monjos,interior_rural,445.8,7435.0,8734698,1175.0,1262.0,-6.9,-7.0
08253,Santa Maria de Besora,interior_rural,6.5,,282383,,1811.0,,
08254,"Esquirol, l'",interior_rural,36.6,2393.0,3693761,1544.0,1786.0,-13.6,-13.7
08255,Santa Maria de Merlès,interior_rural,3.4,,487206,,2046.0,,
08256,Santa Maria de Martorelles,interior_rural,197.9,,1138696,,1611.0,,
08257,Santa Maria de Miralles,interior_rural,5.4,,178984,,1931.0,,
08258,Santa Maria d'Oló,interior_rural,16.3,1090.0,1682247,1543.0,1763.0,-12.4,-12.5
