ine5,nom,tipus,padro,estimacio,rang_baix,rang_alt,registre,marge_rel_pct
25073,Cervià de les Garrigues,interior_rural,640,613,487,837,soroll,0.0
25074,Ciutadilla,interior_rural,194,179,142,245,soroll,0.0
25075,Clariana de Cardener,interior_rural,160,126,100,172,soroll,0.0
25076,"Cogul, el",interior_rural,162,137,109,187,soroll,0.0
25077,Coll de Nargó,interior_rural,583,738,586,1008,senyal_mes,0.5
25079,Cubells,interior_rural,342,309,245,422,soroll,0.0
25081,"Espluga Calba, l'",interior_rural,332,326,259,445,soroll,0.0
25082,Espot,interior_rural,379,416,330,567,soroll,0.0
25085,Estaràs,interior_rural,162,143,114,196,soroll,0.0
25088,Estamariu,interior_rural,133,104,82,141,soroll,0.0
25089,Farrera,interior_rural,128,81,65,111,senyal_menys,13.3
25092,"Floresta, la",interior_rural,164,112,89,152,senyal_menys,7.3
25093,Fondarella,interior_rural,807,738,586,1008,soroll,0.0
25094,Foradada,interior_rural,200,271,215,370,senyal_mes,7.5
25098,Gavet de la Conca,interior_rural,262,208,165,284,soroll,0.0
25100,Gósol,interior_rural,214,248,197,339,soroll,0.0
25101,"Granadella, la",interior_rural,762,531,421,725,senyal_menys,4.9
25102,"Granja d'Escarp, la",interior_rural,941,948,752,1294,soroll,0.0
25103,Granyanella,interior_rural,140,142,113,194,soroll,0.0
25104,Granyena de Segarra,interior_rural,147,141,112,192,soroll,0.0
25105,Granyena de les Garrigues,interior_rural,164,173,137,236,soroll,0.0
25109,Guimerà,interior_rural,249,336,267,459,senyal_mes,7.2
25111,Guixers,interior_rural,135,149,118,204,soroll,0.0
25112,Ivars de Noguera,interior_rural,319,251,199,342,soroll,0.0
25114,Ivorra,interior_rural,102,74,58,101,senyal_menys,1.0
25118,Juncosa,interior_rural,389,290,230,396,soroll,0.0
25123,Lladorre,interior_rural,254,236,187,322,soroll,0.0
25124,Lladurs,interior_rural,185,219,173,299,soroll,0.0
25125,Llardecans,interior_rural,427,498,395,680,soroll,0.0
25126,Llavorsí,interior_rural,336,139,110,190,senyal_menys,43.5
25127,Lles de Cerdanya,interior_rural,288,390,309,532,senyal_mes,7.3
25128,Llimiana,interior_rural,132,265,210,361,senyal_mes,59.1
25129,Llobera,interior_rural,208,197,157,270,soroll,0.0
25130,Maldà,interior_rural,239,205,162,279,soroll,0.0
25131,Massalcoreig,interior_rural,576,500,397,683,soroll,0.0
25132,Massoteres,interior_rural,212,178,141,243,soroll,0.0
25133,Maials,interior_rural,916,862,684,1177,soroll,0.0
25134,Menàrguens,interior_rural,793,682,541,931,soroll,0.0
25136,"Molsosa, la",interior_rural,105,197,156,268,senyal_mes,48.6
25138,Montgai,interior_rural,640,587,466,801,soroll,0.0
25139,Montellà i Martinet,interior_rural,619,628,499,858,soroll,0.0
25141,Montoliu de Segarra,interior_rural,181,172,137,235,soroll,0.0
25142,Montoliu de Lleida,interior_rural,477,341,271,466,senyal_menys,2.3
25146,Navès,interior_rural,302,535,425,730,senyal_mes,40.7
25148,Odèn,interior_rural,231,199,158,272,soroll,0.0
25150,Oliola,interior_rural,195,159,126,218,soroll,0.0
25152,"Oluges, les",interior_rural,165,140,111,192,soroll,0.0
25153,"Omellons, els",interior_rural,189,178,142,244,soroll,0.0
25154,"Omells de na Gaia, els",interior_rural,121,110,87,150,soroll,0.0
25155,Organyà,interior_rural,809,1004,797,1371,soroll,0.0
25157,Ossó de Sió,interior_rural,195,204,162,278,soroll,0.0
25161,Conca de Dalt,interior_rural,435,359,285,490,soroll,0.0
25163,"Coma i la Pedra, la",interior_rural,283,618,490,843,senyal_mes,73.1
25164,Penelles,interior_rural,435,330,262,451,soroll,0.0
25165,Peramola,interior_rural,349,359,285,490,soroll,0.0
25166,Pinell de Solsonès,interior_rural,203,178,141,243,soroll,0.0
25167,Pinós,interior_rural,277,365,290,499,senyal_mes,4.7
25168,"Poal, el",interior_rural,652,603,479,824,soroll,0.0
25169,"Pobla de Cérvoles, la",interior_rural,209,202,160,276,soroll,0.0
25170,Bellaguarda,interior_rural,295,239,190,326,soroll,0.0
25174,"Portella, la",interior_rural,723,589,467,804,soroll,0.0
25175,Prats i Sansor,interior_rural,254,860,683,1174,senyal_mes,168.9
25176,Preixana,interior_rural,404,375,297,512,soroll,0.0
25177,Preixens,interior_rural,390,387,307,528,soroll,0.0
25179,Prullans,interior_rural,252,339,269,463,senyal_mes,6.7
25180,Puiggròs,interior_rural,257,300,238,409,soroll,0.0
25181,Puigverd d'Agramunt,interior_rural,247,127,101,173,senyal_menys,30.0
25185,Ribera d'Urgellet,interior_rural,960,926,735,1265,soroll,0.0
25186,Riner,interior_rural,264,244,194,333,soroll,0.0
25190,Salàs de Pallars,interior_rural,354,351,279,479,soroll,0.0
25191,Sanaüja,interior_rural,387,430,341,587,soroll,0.0
25194,Sant Ramon,interior_rural,495,402,319,549,soroll,0.0
25196,Sant Esteve de la Sarga,interior_rural,124,75,60,103,senyal_menys,16.9
25197,Sant Guim de la Plana,interior_rural,195,152,121,208,soroll,0.0
25200,Sarroca de Lleida,interior_rural,381,357,284,488,soroll,0.0
25201,Sarroca de Bellera,interior_rural,114,167,132,228,senyal_mes,15.8
25202,Senterada,interior_rural,157,233,185,319,senyal_mes,17.8
25205,Sidamon,interior_rural,769,656,520,895,soroll,0.0
25206,"Soleràs, el",interior_rural,317,346,275,472,soroll,0.0
25208,Soriguera,interior_rural,447,298,236,407,senyal_menys,8.9
25211,Sudanell,interior_rural,897,661,525,903,soroll,0.0
25212,Sunyer,interior_rural,306,256,203,350,soroll,0.0
25215,Talarn,interior_rural,541,346,275,473,senyal_menys,12.6
25216,Talavera,interior_rural,285,192,152,262,senyal_menys,8.1
25218,Tarrés,interior_rural,125,87,69,119,senyal_menys,4.8
25219,Tarroja de Segarra,interior_rural,172,118,94,161,senyal_menys,6.4
25221,Tírvia,interior_rural,144,137,109,187,soroll,0.0
25224,"Torms, els",interior_rural,138,113,90,155,soroll,0.0
25225,Tornabous,interior_rural,842,873,693,1192,soroll,0.0
25226,Torrebesses,interior_rural,273,258,205,352,soroll,0.0
25227,"Torre de Cabdella, la",interior_rural,787,1770,1405,2417,senyal_mes,78.5
25231,Torrelameu,interior_rural,799,576,457,787,senyal_menys,1.5
25233,Torre-serona,interior_rural,440,369,293,504,soroll,0.0
