ine5,municipi,tipus_territorial,resident,poblacio,etca,kwh_dom,rtc_places,rtc_places_per_resident,gas_kwh_dom,gas_fraction,altitud_m,densitat_hab_km2
25226,Torrebesses,interior_rural,,273,,432675,25,,0,0.0,,9.9
25227,"Torre de Cabdella, la",interior_rural,,787,,3821639,419,,0,0.0,,4.7
25228,Torrefarrera,interior_rural,4904,4904,4724,6567962,79,0.016,10410810,0.613,,208.9
25230,Torregrossa,interior_rural,2227,2227,1983,3088965,41,0.018,2677451,0.464,,55.1
25231,Torrelameu,interior_rural,,799,,834084,0,,409091,0.329,,74.2
25232,Torres de Segre,interior_rural,2268,2268,2091,3627520,18,0.008,0,0.0,,44.7
25233,Torre-serona,interior_rural,,440,,559310,0,,305889,0.354,,75.0
25234,Tremp,interior_rural,6056,6056,6414,9662383,634,0.105,0,0.0,,19.9
25238,Vallbona de les Monges,interior_rural,,221,,394820,202,,0,0.0,,6.5
25239,"Valls de Valira, les",interior_rural,,810,,1124675,1172,,0,0.0,,4.7
25240,Vallfogona de Balaguer,interior_rural,2016,2016,1876,2840953,43,0.021,3131418,0.524,,74.4
25242,Verdú,interior_rural,,885,,1230170,0,,0,0.0,,24.7
25243,Vielha e Mijaran,interior_rural,5793,5793,7427,11480781,3287,0.567,0,0.0,,27.0
25244,Vilagrassa,interior_rural,,633,,814795,91,,542902,0.4,,32.2
25245,Vilaller,interior_rural,,506,,987343,251,,0,0.0,,8.5
25247,Vilamòs,interior_rural,,176,,299314,922,,0,0.0,,11.3
25248,Vilanova de Bellpuig,interior_rural,1168,1168,1058,1721297,76,0.065,0,0.0,,83.9
25249,Vilanova de l'Aguda,interior_rural,,195,,348091,60,,0,0.0,,3.7
25250,Vilanova de Meià,interior_rural,,462,,884604,92,,0,0.0,,4.4
25251,Vilanova de Segrià,interior_rural,1057,1057,896,1537247,15,0.014,1112526,0.42,,126.9
25252,Vila-sana,interior_rural,,744,,1172365,9,,0,0.0,,39.2
25253,"Vilosell, el",interior_rural,,192,,476589,43,,0,0.0,,10.2
25254,Vilanova de la Barca,interior_rural,1100,1100,1011,1604892,171,0.155,736487,0.315,,51.5
25255,Vinaixa,interior_rural,,449,,639663,54,,0,0.0,,12.0
25901,Vall de Cardós,interior_rural,,381,,886850,2165,,0,0.0,,6.7
25902,Sant Martí de Riucorb,interior_rural,,675,,1079527,53,,0,0.0,,19.4
25903,"Guingueta d'Àneu, la",interior_rural,,283,,666558,800,,0,0.0,,2.6
25904,Castell de Mur,interior_rural,,175,,310653,192,,0,0.0,,2.8
25905,Ribera d'Ondara,interior_rural,,454,,701469,45,,0,0.0,,8.4
25906,"Valls d'Aguilar, les",interior_rural,,269,,366648,130,,0,0.0,,2.2
25907,Torrefeta i Florejacs,interior_rural,,608,,873775,78,,0,0.0,,6.8
25908,Fígols i Alinyà,interior_rural,,244,,472571,48,,0,0.0,,2.4
25909,"Vansa i Fórnols, la",interior_rural,,189,,367398,237,,0,0.0,,1.8
25910,Josa i Tuixén,interior_rural,,123,,312112,54,,0,0.0,,1.8
25911,"Plans de Sió, els",interior_rural,,521,,782010,32,,0,0.0,,9.3
25912,Gimenells i el Pla de la Font,interior_rural,1095,1095,986,1884844,0,0.0,0,0.0,,19.7
25913,Riu de Cerdanya,interior_rural,,99,,308687,22,,0,0.0,,8.0
43001,Aiguamúrcia,interior_rural,965,965,1015,1615472,255,0.264,0,0.0,,13.3
43002,Albinyana,interior_rural,2678,2678,2433,4035623,108,0.04,0,0.0,,138.1
43003,"Albiol, l'",interior_rural,,538,,744274,55,,0,0.0,,26.7
43004,Alcanar,litoral_vacacional,9871,9871,10046,17803147,3005,0.304,3637518,0.17,,215.0
43005,Alcover,interior_rural,5334,5334,5106,7106011,158,0.03,2920471,0.291,,116.2
43006,Aldover,interior_rural,,897,,1286373,53,,0,0.0,,45.2
43007,"Aleixar, l'",interior_rural,,980,,1284163,28,,0,0.0,,37.9
43008,Alfara de Carles,interior_rural,,363,,615948,65,,0,0.0,,5.7
43009,Alforja,interior_rural,2027,2027,1845,2406852,136,0.067,0,0.0,,53.3
43010,Alió,interior_rural,,506,,659720,0,,0,0.0,,69.9
43011,Almoster,interior_rural,1338,1338,1098,2139111,14,0.01,197805,0.085,,222.2
43012,Altafulla,litoral_vacacional,5809,5809,7638,11275134,2425,0.417,7001052,0.383,,849.2
43013,"Ametlla de Mar, l'",litoral_vacacional,7347,7347,10174,20467896,10497,1.429,1779215,0.08,,111.2
43014,Amposta,litoral_vacacional,22623,22623,22977,33751094,1599,0.071,8207180,0.196,,166.0
43015,Arbolí,interior_rural,,129,,180128,26,,0,0.0,,6.3
43016,"Arboç, l'",interior_rural,5745,5745,6208,5899082,93,0.016,5532043,0.484,,406.0
43017,"Argentera, l'",interior_rural,,129,,213243,30,,0,0.0,,13.1
43018,Arnes,interior_rural,,463,,768559,554,,0,0.0,,11.0
43019,Ascó,interior_rural,1609,1609,1750,2733366,3,0.002,0,0.0,,22.1
43020,Banyeres del Penedès,interior_rural,3340,3340,3025,5069873,94,0.028,1302269,0.204,,273.8
43021,Barberà de la Conca,interior_rural,,480,,824512,21,,0,0.0,,18.4
43022,Batea,interior_rural,1881,1881,1808,2182214,81,0.043,0,0.0,,14.8
43023,Bellmunt del Priorat,interior_rural,,294,,508031,11,,0,0.0,,33.6
43024,Bellvei,interior_rural,2409,2409,2627,3742637,96,0.04,1909613,0.338,,293.6
43025,Benifallet,interior_rural,,724,,1100623,104,,0,0.0,,11.8
43026,Benissanet,interior_rural,1192,1192,1160,1594897,100,0.084,1136842,0.416,,52.2
43027,"Bisbal de Falset, la",interior_rural,,207,,361736,68,,0,0.0,,14.9
43028,"Bisbal del Penedès, la",interior_rural,4183,4183,4626,7183546,150,0.036,0,0.0,,131.0
43029,Blancafort,interior_rural,,393,,647437,21,,0,0.0,,27.2
43030,Bonastre,interior_rural,,762,,1121900,14,,618157,0.355,,30.7
43031,"Borges del Camp, les",interior_rural,2256,2256,2166,3097742,22,0.01,0,0.0,,271.8
43032,Bot,interior_rural,,552,,897734,288,,0,0.0,,16.1
43033,Botarell,interior_rural,1170,1170,1164,1722193,68,0.058,0,0.0,,98.7
43034,Bràfim,interior_rural,,697,,1185939,6,,0,0.0,,109.7
43035,Cabacés,interior_rural,,301,,340545,0,,0,0.0,,9.7
