codi6;ine5;nom
171595;17159;Sant Feliu de Buixalleu
082107;08210;Sant Feliu de Codines
171609;17160;Sant Feliu de Guíxols
082114;08211;Sant Feliu de Llobregat
171616;17161;Sant Feliu de Pallerols
082129;08212;Sant Feliu Sasserra
171621;17162;Sant Ferriol
082093;08209;Sant Fost de Campsentelles
082135;08213;Sant Fruitós de Bages
171637;17163;Sant Gregori
251924;25192;Sant Guim de Freixenet
251977;25197;Sant Guim de la Plana
171642;17164;Sant Hilari Sacalm
082153;08215;Sant Hipòlit de Voltregà
081939;08193;Sant Iscle de Vallalta
439023;43902;Sant Jaume d'Enveja
082166;08216;Sant Jaume de Frontanyà
171655;17165;Sant Jaume de Llierca
431378;43137;Sant Jaume dels Domenys
171674;17167;Sant Joan de les Abadesses
171680;17168;Sant Joan de Mollet
082188;08218;Sant Joan de Vilatorrada
082172;08217;Sant Joan Despí
171851;17185;Sant Joan les Fonts
171668;17166;Sant Jordi Desvalls
089030;08903;Sant Julià de Cerdanyola
171693;17169;Sant Julià de Ramis
082205;08220;Sant Julià de Vilatorta
179032;17903;Sant Julià del Llor i Bonmatí
082212;08221;Sant Just Desvern
082227;08222;Sant Llorenç d'Hortons
171714;17171;Sant Llorenç de la Muga
251930;25193;Sant Llorenç de Morunys
082233;08223;Sant Llorenç Savall
082251;08225;Sant Martí d'Albars
082248;08224;Sant Martí de Centelles
171729;17172;Sant Martí de Llémena
259025;25902;Sant Martí de Riucorb
082264;08226;Sant Martí de Tous
082270;08227;Sant Martí Sarroca
082286;08228;Sant Martí Sesgueioles
171735;17173;Sant Martí Vell
082299;08229;Sant Mateu de Bages
171740;17174;Sant Miquel de Campmajor
171753;17175;Sant Miquel de Fluvià
171766;17176;Sant Mori
171772;17177;Sant Pau de Segúries
082310;08231;Sant Pere de Ribes
082325;08232;Sant Pere de Riudebitlles
082331;08233;Sant Pere de Torelló
082346;08234;Sant Pere de Vilamajor
171788;17178;Sant Pere Pescador
081897;08189;Sant Pere Sallavinera
082359;08235;Sant Pol de Mar
082362;08236;Sant Quintí de Mediona
082378;08237;Sant Quirze de Besora
082384;08238;Sant Quirze del Vallès
082397;08239;Sant Quirze Safaja
251945;25194;Sant Ramon
082401;08240;Sant Sadurní d'Anoia
082418;08241;Sant Sadurní d'Osormort
080983;08098;Sant Salvador de Guardiola
082628;08262;Sant Vicenç de Castellet
082649;08264;Sant Vicenç de Montalt
082652;08265;Sant Vicenç de Torelló
082634;08263;Sant Vicenç dels Horts
431384;43138;Santa Bàrbara
082439;08243;Santa Cecília de Voltregà
082444;08244;Santa Coloma de Cervelló
171805;17180;Santa Coloma de Farners
082457;08245;Santa Coloma de Gramenet
431397;43139;Santa Coloma de Queralt
171812;17181;Santa Cristina d'Aro
082460;08246;Santa Eugènia de Berga
082476;08247;Santa Eulàlia de Riuprimer
082482;08248;Santa Eulàlia de Ronçana
082495;08249;Santa Fe del Penedès
171827;17182;Santa Llogaia d'Àlguema
082508;08250;Santa Margarida de Montbui
082515;08251;Santa Margarida i els Monjos
082589;08258;Santa Maria d'Oló
082536;08253;Santa Maria de Besora
082567;08256;Santa Maria de Martorelles
082554;08255;Santa Maria de Merlès
082573;08257;Santa Maria de Miralles
