codi6;ine5;nom
430884;43088;Montbrió del Camp
081252;08125;Montcada i Reixac
081304;08130;Montclar
251399;25139;Montellà i Martinet
081311;08131;Montesquiu
251403;25140;Montferrer i Castellbò
430897;43089;Montferri
251386;25138;Montgai
081265;08126;Montgat
081326;08132;Montmajor
081332;08133;Montmaneu
081350;08135;Montmeló
251425;25142;Montoliu de Lleida
251410;25141;Montoliu de Segarra
251431;25143;Montornès de Segarra
081363;08136;Montornès del Vallès
081379;08137;Montseny
081290;08129;Muntanyola
081398;08139;Mura
430939;43093;Móra d'Ebre
430944;43094;Móra la Nova
251459;25145;Nalec
250254;25025;Naut Aran
081402;08140;Navarcles
171117;17111;Navata
081419;08141;Navàs
251462;25146;Navès
430982;43098;Nulles
251484;25148;Odèn
171122;17112;Ogassa
081461;08146;Olesa de Bonesvalls
081477;08147;Olesa de Montserrat
251497;25149;Oliana
251500;25150;Oliola
251517;25151;Olius
081483;08148;Olivella
081496;08149;Olost
171143;17114;Olot
081445;08144;Olvan
081458;08145;Olèrdola
171156;17115;Ordis
251556;25155;Organyà
081516;08151;Oristà
081521;08152;Orpí
081509;08150;Orís
251569;25156;Os de Balaguer
171169;17116;Osor
251575;25157;Ossó de Sió
081542;08154;Pacs del Penedès
081555;08155;Palafolls
171175;17117;Palafrugell
171181;17118;Palamós
171194;17119;Palau de Santa Eulàlia
171215;17121;Palau-sator
171208;17120;Palau-saverdera
081568;08156;Palau-solità i Plegamans
081574;08157;Pallejà
171236;17123;Palol de Revardit
171241;17124;Pals
171254;17125;Pardines
081593;08159;Parets del Vallès
171267;17126;Parlavà
431016;43101;Passanant i Belltall
171289;17128;Pau
431021;43102;Paüls
171292;17129;Pedret i Marzà
251641;25164;Penelles
081607;08160;Perafita
431037;43103;Perafort
171328;17132;Peralada
251654;25165;Peramola
081614;08161;Piera
081635;08163;Pineda de Mar
251667;25166;Pinell de Solsonès
251673;25167;Pinós
431074;43107;Pira
171349;17134;Planoles
431129;43112;Poboleda
081672;08167;Polinyà
171352;17135;Pont de Molins
431418;43141;Pontils
081688;08168;Pontons
251728;25172;Ponts
171365;17136;Pontós
171371;17137;Porqueres
431140;43114;Porrera
171387;17138;Portbou
431153;43115;Pradell de la Teixeta
431166;43116;Prades
431172;43117;Prat de Comte
