ine5,codi6,municipi,comarca,poblacio,hab_total,hab_principal,hab_noprincipal,pct_noprincipal,hab_per_hab,index_envelliment,rtc_total,rtc_hut,rtc_per_1000hab,rtc_per_100hab_viv,kg_hab_any,kwh_hab,vidre_hab,restauracio_estab,restauracio_per_1000hab,serveis_estab,serveis_per_1000hab,poblacio_pernocta_est,gap_pernocta,gap_pernocta_pct,carrega_total_est,index_turisme,confianca,poblacio_real_est,gap_abs,gap_pct,poblacio_real_rel,pct_icaen_EFG,IETR,IETR_rank,IETR_stock,IETR_impact,tipologia,confianca_score,carrega_funcional_est,kg_hab_any_year,vidre_any,any_referencia,poblacio_nacionalitat_estrangera,poblacio_nascuda_estranger,poblacio_nascuda_catalunya,poblacio_nascuda_resta_espanya,pct_nacionalitat_estrangera,pct_nascuda_estranger,bretxa_naturalitzacio,pct_nacionalitat_estrangera_comarca,pct_nacionalitat_estrangera_catalunya,pct_nascuda_estranger_comarca,pct_nascuda_estranger_catalunya,serie_any_inicial,serie_any_final,delta_pct_estrangera_5y,delta_pct_estrangera_finestra,delta_estrangers_finestra,confianca_origen,vots_valids_A20241,pct_extrema_dreta_A20241,pct_indep_A20241,pct_esq_A20241,guanya_A20241,vots_valids_A20211,pct_extrema_dreta_A20211,pct_indep_A20211,pct_esq_A20211,guanya_A20211
08177,081770,"Quar, la",Berguedà,44,31,18,13,41.94,0.705,240.0,4,3,90.91,12.9,803.9,3539.5,70.5,0,0.0,1,22.73,127,83,188.6,86,57.1,baixa,86,42,95.5,78,,45.66,11,29.12,62.21,indeterminat,5.0,127,2024,2024,2025,7,6,36,2,,,,12.69,18.74,16.29,25.1,2021.0,2025.0,,1.62,0.0,baixa,19.0,5.26,73.68,47.37,CAT-JUNTS+,20.0,0.0,95.0,65.0,CUP-G
08188,081884,Sagàs,Berguedà,153,78,44,34,43.59,0.51,163.2,20,0,130.72,25.64,764.49,3153.0,132.5,1,6.54,1,6.54,394,241,157.5,285,100.0,alta,285,132,86.3,259,,56.15,7,22.16,90.14,segona_residencia,34.0,394,2024,2024,2025,5,5,144,4,3.27,3.27,0.0,12.69,18.74,16.29,25.1,2024.0,2025.0,,-0.63,-1.0,mitjana,85.0,12.94,85.88,29.41,CAT-JUNTS+,86.0,0.0,93.02,44.19,JxCat
08190,081901,Saldes,Berguedà,301,367,141,226,61.58,1.219,359.3,23,12,76.41,6.27,927.26,2277.4,90.1,5,16.61,8,26.58,560,259,86.0,681,71.0,alta,681,380,126.2,617,,57.81,6,77.07,38.56,segona_residencia,76.5,681,2024,2024,2025,14,23,260,18,4.65,7.64,2.99,12.69,18.74,16.29,25.1,2021.0,2025.0,,3.24,10.0,mitjana,172.0,8.72,75.0,43.6,CAT-JUNTS+,170.0,0.0,85.88,56.47,JxCat
08216,082166,Sant Jaume de Frontanyà,Berguedà,25,39,17,22,56.41,1.56,350.0,5,1,200.0,12.82,1132.47,2285.6,39.6,0,0.0,1,40.0,47,22,88.0,69,35.1,baixa,69,44,176.0,63,,85.45,2,86.43,84.47,segona_residencia,38.8,69,2024,2024,2025,0,2,21,2,,,,12.69,18.74,16.29,25.1,,,,,,baixa,14.0,35.71,21.43,50.0,PSC,12.0,0.0,50.0,91.67,ERC
08255,082554,Santa Maria de Merlès,Berguedà,179,111,59,52,46.85,0.62,87.5,14,0,78.21,12.61,686.95,2721.8,79.9,2,11.17,1,5.59,398,219,122.3,300,63.8,baixa,300,121,67.6,272,,44.3,12,31.26,57.34,indeterminat,51.6,398,2024,2024,2025,1,2,171,6,0.56,1.12,0.56,12.69,18.74,16.29,25.1,2021.0,2022.0,,-0.05,0.0,mitjana,88.0,10.23,81.82,42.05,CAT-JUNTS+,87.0,1.15,94.25,47.13,JxCat
08268,082687,Cercs,Berguedà,1236,1095,517,578,52.79,0.886,270.0,29,25,23.46,2.65,486.23,1635.7,36.4,11,8.9,8,6.47,1652,416,33.7,1466,32.8,mitjana,1466,230,18.6,1330,,31.11,19,50.86,11.35,indeterminat,73.1,1652,2024,2024,2025,71,107,982,147,5.74,8.66,2.92,12.69,18.74,16.29,25.1,2021.0,2025.0,,1.88,25.0,alta,588.0,17.35,65.31,46.26,CAT-JUNTS+,568.0,2.99,77.46,58.98,ERC
08293,082938,Vallcebre,Berguedà,260,260,122,138,53.08,1.0,537.5,15,11,57.69,5.77,837.38,1532.5,55.7,2,7.69,4,15.38,326,66,25.4,531,46.6,alta,531,271,104.2,482,,43.83,14,56.48,31.18,indeterminat,65.5,531,2024,2024,2025,3,11,231,18,1.15,4.23,3.08,12.69,18.74,16.29,25.1,2021.0,2024.0,,2.14,6.0,mitjana,157.0,5.1,75.16,43.31,CAT-JUNTS+,161.0,1.24,85.71,54.66,JxCat
08299,082994,Vilada,Berguedà,430,325,181,144,44.31,0.756,325.0,7,5,16.28,2.15,362.07,1575.7,35.6,4,9.3,6,13.95,554,124,28.8,380,32.3,mitjana,380,-50,-11.6,344,,21.02,25,34.4,7.64,indeterminat,75.4,554,2024,2024,2025,13,17,385,28,3.02,3.95,0.93,12.69,18.74,16.29,25.1,2021.0,2025.0,,0.9,4.0,mitjana,258.0,12.02,76.36,51.55,CAT-JUNTS+,236.0,2.54,84.32,57.63,JxCat
08308,083089,Viver i Serrateix,Berguedà,178,95,55,40,42.11,0.534,122.9,13,0,73.03,13.68,675.03,2136.7,74.5,0,0.0,1,5.62,311,133,74.7,293,59.9,mitjana,293,115,64.6,266,,40.11,16,21.44,58.77,indeterminat,61.0,311,2024,2024,2025,8,9,167,2,4.49,5.06,0.57,12.69,18.74,16.29,25.1,2023.0,2025.0,,1.04,2.0,mitjana,97.0,11.34,93.81,24.74,CAT-JUNTS+,100.0,0.0,94.0,27.0,JxCat
08903,089030,Sant Julià de Cerdanyola,Berguedà,234,230,116,114,49.57,0.983,281.8,4,2,17.09,1.74,506.47,2153.8,58.1,2,8.55,3,12.82,412,178,76.1,289,48.3,baixa,289,55,23.5,262,,29.04,22,51.36,6.72,dormitori_invisible,61.4,412,2024,2024,2025,0,1,226,7,0.0,0.43,0.43,12.69,18.74,16.29,25.1,,,,,,mitjana,169.0,6.51,85.8,46.15,CAT-JUNTS+,174.0,0.57,87.93,49.43,JxCat
25100,251001,Gósol,Berguedà,207,333,107,226,67.87,1.609,310.5,20,14,96.62,6.01,1059.74,2283.4,149.4,6,28.99,4,19.32,386,179,86.5,535,100.0,alta,535,328,158.5,485,,72.11,4,100.0,44.22,segona_residencia,61.8,535,2024,2024,2025,20,24,168,15,9.66,11.59,1.93,12.69,18.74,16.29,25.1,2021.0,2025.0,,1.9,2.0,mitjana,110.0,8.18,80.0,45.45,CAT-JUNTS+,129.0,1.55,82.17,58.91,JxCat
